Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
80,Julio César Enciso,py PAR,MF,Brighton,19-293,2004,2,1,69,0.8,0,2,2,0,0,0,1,0,0.2,0.2,0.7,0.9,5,0,5,0,2.61,2.61,0,2.61,0.26,0.96,1.22,0.26,1.22
81,Youssef Chermiti,pt POR,FW,Everton,19-172,2004,5,0,34,0.4,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,1,4,0,0,0,0,0,0.15,0,0.15,0.15,0.15
82,Ben Chilwell,eng ENG,"DF,MF",Chelsea,26-326,1996,6,4,336,3.7,0,1,1,0,0,0,3,0,1,1,1.8,2.8,12,10,23,0,0.27,0.27,0,0.27,0.26,0.49,0.74,0.26,0.74
83,Tahith Chong,nl NED,MF,Luton Town,23-343,1999,10,5,529,5.9,1,0,1,1,0,0,2,0,0.8,0.8,0,0.9,9,20,20,0.17,0,0.17,0.17,0.17,0.14,0,0.15,0.14,0.15
84,Ryan Christie,sct SCO,MF,Bournemouth,28-263,1995,12,11,873,9.7,0,1,1,0,0,0,0,0,0.5,0.5,1.8,2.3,22,31,37,0,0.1,0.1,0,0.1,0.06,0.18,0.24,0.06,0.24
85,Carney Chukwuemeka,eng ENG,MF,Chelsea,20-023,2003,2,2,125,1.4,1,0,1,1,0,0,2,0,0.1,0.1,0.1,0.2,2,4,9,0.72,0,0.72,0.72,0.72,0.08,0.09,0.16,0.08,0.16
86,Jordan Clark,eng ENG,"MF,DF",Luton Town,30-051,1993,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
87,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32-221,1991,3,1,132,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0.02,0,0.02,0.02,0.02
88,Nathan Collins,ie IRL,DF,Brentford,22-196,2001,11,10,910,10.1,1,1,2,1,0,0,2,0,0.5,0.5,0.8,1.3,4,37,5,0.1,0.1,0.2,0.1,0.2,0.05,0.08,0.13,0.05,0.13
89,Levi Colwill,eng ENG,DF,Chelsea,20-259,2003,11,11,934,10.4,0,1,1,0,0,0,1,0,0.8,0.8,0.9,1.7,11,34,16,0,0.1,0.1,0,0.1,0.08,0.08,0.16,0.08,0.16
90,Lewis Cook,eng ENG,MF,Bournemouth,26-282,1997,8,7,613,6.8,0,0,0,0,0,0,1,1,0.1,0.1,0.3,0.4,3,20,2,0,0,0,0,0,0.01,0.05,0.06,0.01,0.06
91,Jack Cork,eng ENG,MF,Burnley,34-140,1989,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
92,Maxwel Cornet,ci CIV,MF,West Ham,27-046,1996,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Vladimír Coufal,cz CZE,DF,West Ham,31-082,1992,11,11,986,11,0,4,4,0,0,0,0,0,0,0,1.2,1.2,30,46,30,0,0.37,0.37,0,0.37,0,0.11,0.11,0,0.11
94,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,31-153,1992,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,5,5,2,0,0,0,0,0,0.52,0,0.52,0.52,0.52
95,Aaron Cresswell,eng ENG,DF,West Ham,33-332,1989,1,1,84,0.9,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,8,1,0,0,0,0,0,0,0.11,0.11,0,0.11
96,Marc Cucurella,es ESP,DF,Chelsea,25-113,1998,5,4,395,4.4,0,0,0,0,0,0,3,0,0.8,0.8,0.1,0.9,8,15,20,0,0,0,0,0,0.18,0.02,0.2,0.18,0.2
97,Josh Cullen,ie IRL,MF,Burnley,27-219,1996,10,10,839,9.3,0,1,1,0,0,0,5,0,0.1,0.1,0.6,0.7,5,39,9,0,0.11,0.11,0,0.11,0.01,0.06,0.07,0.01,0.07
98,Matheus Cunha,br BRA,FW,Wolves,24-169,1999,12,12,981,10.9,2,2,4,2,0,0,1,0,3.1,3.1,1.6,4.8,44,29,44,0.18,0.18,0.37,0.18,0.37,0.29,0.15,0.44,0.29,0.44
99,Mahmoud Dahoud,de GER,MF,Brighton,27-315,1996,7,4,339,3.8,0,1,1,0,0,0,1,0,0.1,0.1,0.7,0.8,3,8,5,0,0.27,0.27,0,0.27,0.02,0.18,0.2,0.02,0.2
100,Ameen Al-Dakhil,be BEL,DF,Burnley,21-251,2002,10,10,855,9.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,6,29,2,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03
101,Diogo Dalot,pt POR,DF,Manchester Utd,24-239,1999,11,10,925,10.3,1,0,1,1,0,0,2,0,0.4,0.4,0.9,1.3,21,47,44,0.1,0,0.1,0.1,0.1,0.04,0.09,0.13,0.04,0.13
102,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,23-132,2000,2,0,54,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,4,0,0,0,0,0,0,0.12,0,0.12,0.12,0.12
103,Danilo,br BRA,"MF,FW",Nott'ham Forest,22-197,2001,5,4,292,3.2,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,3,7,8,0,0,0,0,0,0.05,0.02,0.06,0.05,0.06
104,Arnaut Danjuma,nl NED,"FW,MF",Everton,26-285,1997,8,3,373,4.1,1,0,1,1,0,0,0,0,1.8,1.8,0.3,2.2,13,4,27,0.24,0,0.24,0.24,0.24,0.45,0.08,0.53,0.45,0.53
105,Josh Dasilva,eng ENG,MF,Brentford,25-020,1998,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Ben Davies,wls WAL,DF,Tottenham,30-202,1993,6,2,182,2,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,0,14,5,0,0,0,0,0,0.3,0,0.3,0.3,0.3
107,Tom Davies,eng ENG,MF,Sheffield Utd,25-135,1998,3,0,60,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3,4,1,0,0,0,0,0,0.14,0.11,0.25,0.14,0.25
108,Craig Dawson,eng ENG,DF,Wolves,33-190,1990,12,12,"1,060",11.8,0,0,0,0,0,0,5,0,0.7,0.7,0.6,1.3,1,29,2,0,0,0,0,0,0.06,0.05,0.11,0.06,0.11
109,Kevin De Bruyne,be BEL,MF,Manchester City,32-137,1991,1,1,22,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,1,3,0,0,0,0,0,0.08,0.83,0.91,0.08,0.91
110,Hannes Delcroix,be BEL,DF,Burnley,24-257,1999,6,2,241,2.7,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,1,7,0,0,0,0,0,0,0.13,0.05,0.19,0.13,0.19
111,Leander Dendoncker,be BEL,"MF,FW",Aston Villa,28-211,1995,4,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
112,Moussa Diaby,fr FRA,"FW,MF",Aston Villa,24-128,1999,11,11,883,9.8,3,3,6,3,0,0,0,0,2,2,3.6,5.5,37,34,72,0.31,0.31,0.61,0.31,0.61,0.2,0.36,0.57,0.2,0.57
113,Rúben Dias,pt POR,DF,Manchester City,26-182,1997,9,8,736,8.2,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,15,53,6,0,0,0,0,0,0.05,0,0.05,0.05,0.05
